k,u,n,d,a,&,b,u,d,a,#,m,u,c,h,a,b,u,d,a,$,V,PL,2,FUT	m,u,c,h,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,t,i,r,i,k,u,b,u,d,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,w,a,b,u,d,a,$,V,SG,2,HOD	w,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,n,d,a,k,a,b,u,d,a,$,V,SG,1,PST	n,d,a,k,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,t,i,n,o,b,u,d,a,$,V,PL,1,PRS	t,i,n,o,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,t,i,c,h,a,b,u,d,a,$,V,PL,1,FUT	t,i,c,h,a,k,u,n,d,a
k,u,n,d,a,&,k,u,n,a,#,a,n,o,k,u,n,a,$,V,SG,3,PRS	a,n,o,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,u,c,h,a,b,u,d,a,$,V,SG,2,FUT	u,c,h,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,n,d,i,r,i,k,u,b,u,d,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,u,r,i,k,u,b,u,d,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,u,n,d,a
k,u,n,d,a,&,u,n,d,a,#,a,k,a,u,n,d,a,$,V,SG,3,PST	a,k,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,n,d,i,n,o,b,u,d,a,$,V,SG,1,PRS	n,d,i,n,o,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,m,u,n,o,b,u,d,a,$,V,PL,2,PRS	m,u,n,o,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,u,n,o,b,u,d,a,$,V,SG,2,PRS	u,n,o,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,w,a,k,a,b,u,d,a,$,V,SG,2,PST	w,a,k,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,v,a,r,i,k,u,b,u,d,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,a,b,u,d,a,$,V,SG,3,HOD	a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,v,a,b,u,d,a,$,V,PL,3,HOD	v,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,n,d,i,c,h,a,b,u,d,a,$,V,SG,1,FUT	n,d,i,c,h,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,m,a,k,a,b,u,d,a,$,V,PL,2,PST	m,a,k,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,a,c,h,a,b,u,d,a,$,V,SG,3,FUT	a,c,h,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,a,r,i,k,u,b,u,d,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,t,a,b,u,d,a,$,V,PL,1,HOD	t,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,v,a,n,o,b,u,d,a,$,V,PL,3,PRS	v,a,n,o,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,t,a,k,a,b,u,d,a,$,V,PL,1,PST	t,a,k,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,v,a,c,h,a,b,u,d,a,$,V,PL,3,FUT	v,a,c,h,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,n,d,a,b,u,d,a,$,V,SG,1,HOD	n,d,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,m,a,b,u,d,a,$,V,PL,2,HOD	m,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,v,a,k,a,b,u,d,a,$,V,PL,3,PST	v,a,k,a,k,u,n,d,a
k,u,n,d,a,&,b,u,d,a,#,m,u,r,i,k,u,b,u,d,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,u,n,d,a
b,v,u,m,a,&,b,v,u,n,z,a,#,m,u,c,h,a,b,v,u,n,z,a,$,V,PL,2,FUT	m,u,c,h,a,b,v,u,m,a
b,v,u,m,a,&,b,v,u,n,z,a,#,n,d,i,c,h,a,b,v,u,n,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,v,u,m,a
b,v,u,m,a,&,b,v,u,n,z,a,#,a,n,o,b,v,u,n,z,a,$,V,SG,3,PRS	a,n,o,b,v,u,m,a
b,v,u,m,a,&,b,v,u,n,z,a,#,t,i,n,o,b,v,u,n,z,a,$,V,PL,1,PRS	t,i,n,o,b,v,u,m,a
b,v,u,m,a,&,b,v,u,n,z,a,#,v,a,k,a,b,v,u,n,z,a,$,V,PL,3,PST	v,a,k,a,b,v,u,m,a
